sample,reference,bio_rep,tech_rep,dilution,smithroot_v_vaccum,filter_v_liq,preservation,extraction,Ct,quantity,inhibition_value,inhibited,PB_no,total_DNA
52345-064,SR_-80_QBTK_1,1,1,10,SR,filter,minus 80,QBTK,27.434,34873.56,-0.21,0,PB119,21.1
52345-055,SR_self-preserving_QBTK_1,1,2,10,SR,filter,self-preserving,QBTK,27.44,34740.19,-0.195,0,PB119,19
52345-128,SR_later_QBTK_1,1,1,10,SR,filter,later,QBTK,27.451,34493.46,0.081,0,PB119,12.2
52345-128,SR_later_QBTK_1,1,2,10,SR,filter,later,QBTK,27.505,33374.84,-0.002,0,PB119,12.2
52345-055,SR_self-preserving_QBTK_1,1,1,10,SR,filter,self-preserving,QBTK,27.544,32578.82,-0.032,0,PB119,19
52345-129,SR_later_QBTK_2,2,3,10,SR,filter,later,QBTK,27.558,32293.68,-0.299,0,PB119,10.8
52345-076,SR_shield_QBTK_1,1,3,10,SR,filter,shield,QBTK,27.589,31678.59,-0.248,0,PB119,12.4
52345-129,SR_later_QBTK_2,2,2,10,SR,filter,later,QBTK,27.609,31295.65,-0.174,0,PB119,10.8
52345-055,SR_self-preserving_QBTK_1,1,3,10,SR,filter,self-preserving,QBTK,27.615,31173.46,-0.283,0,PB119,19
52345-076,SR_shield_QBTK_1,1,1,10,SR,filter,shield,QBTK,27.627,30943.55,-0.218,0,PB119,12.4
52345-076,SR_shield_QBTK_1,1,2,10,SR,filter,shield,QBTK,27.641,30675.36,-0.365,0,PB119,12.4
52345-129,SR_later_QBTK_2,2,1,10,SR,filter,later,QBTK,27.67,30134.60,0.003,0,PB119,10.8
52345-078,SR_shield_QBTK_3,3,2,10,SR,filter,shield,QBTK,27.927,25703.29,-0.118,0,PB119,10.1
52345-078,SR_shield_QBTK_3,3,3,10,SR,filter,shield,QBTK,27.933,25600.85,-0.104,0,PB119,10.1
52345-078,SR_shield_QBTK_3,3,1,10,SR,filter,shield,QBTK,27.97,25017.67,-0.304,0,PB119,10.1
52345-057,SR_self-preserving_QBTK_3,3,1,10,SR,filter,self-preserving,QBTK,28.239,21183.18,-0.227,0,PB119,16.1
52345-057,SR_self-preserving_QBTK_3,3,2,10,SR,filter,self-preserving,QBTK,28.308,20300.18,-0.202,0,PB119,16.1
52345-057,SR_self-preserving_QBTK_3,3,3,10,SR,filter,self-preserving,QBTK,28.351,19772.24,-0.227,0,PB119,16.1
52345-130,SR_later_QBTK_3,3,1,10,SR,filter,later,QBTK,28.6,16940.10,-0.136,0,PB119,6.13
52345-130,SR_later_QBTK_3,3,2,10,SR,filter,later,QBTK,28.654,16384.10,-0.108,0,PB119,6.13
52345-130,SR_later_QBTK_3,3,3,10,SR,filter,later,QBTK,28.7,15926.50,-0.195,0,PB119,6.13
52345-056,SR_self-preserving_QBTK_2,2,2,10,SR,filter,self-preserving,QBTK,28.859,14432.17,-0.311,0,PB119,13.9
52345-056,SR_self-preserving_QBTK_2,2,1,10,SR,filter,self-preserving,QBTK,28.874,14297.39,-0.382,0,PB119,13.9
52345-056,SR_self-preserving_QBTK_2,2,3,10,SR,filter,self-preserving,QBTK,29.123,12261.29,-0.302,0,PB119,13.9
52345-232,Extra longmires from sample 52345-087,,2,10,vacuum,liquid,longmires,QBTK,32.779,1275.83,0.019,0,PB119,0.333
52345-232,Extra longmires from sample 52345-087,,3,10,vacuum,liquid,longmires,QBTK,32.898,1185.13,-0.03,0,PB119,0.333
52345-232,Extra longmires from sample 52345-087,,1,10,vacuum,liquid,longmires,QBTK,33.008,1107.07,-0.016,0,PB119,0.333
52345-222,RNAlater_SR_later_QBTK_3,3,2,10,SR,liquid,later,QBTK,33.083,1057.00,-0.014,0,PB119,0.284
52345-222,RNAlater_SR_later_QBTK_3,3,3,10,SR,liquid,later,QBTK,33.152,1012.52,-0.159,0,PB119,0.284
52345-231,Extra longmires from sample 52345-086,,3,10,vacuum,liquid,longmires,QBTK,33.342,900.32,0.068,0,PB119,0.382
52345-222,RNAlater_SR_later_QBTK_3,3,1,10,SR,liquid,later,QBTK,33.436,849.50,-0.042,0,PB119,0.284
52345-231,Extra longmires from sample 52345-086,,2,10,vacuum,liquid,longmires,QBTK,33.473,830.33,0.053,0,PB119,0.382
52345-231,Extra longmires from sample 52345-086,,1,10,vacuum,liquid,longmires,QBTK,33.737,705.16,-0.088,0,PB119,0.382
52345-221,RNAlater_SR_later_QBTK_2,2,2,10,SR,liquid,later,QBTK,34.401,467.63,0.066,0,PB119,0.188
52345-221,RNAlater_SR_later_QBTK_2,2,3,10,SR,liquid,later,QBTK,34.405,466.34,0.184,0,PB119,0.188
52345-221,RNAlater_SR_later_QBTK_2,2,1,10,SR,liquid,later,QBTK,34.767,372.79,0.066,0,PB119,0.188
52345-220,RNAlater_SR_later_QBTK_1,1,3,10,SR,liquid,later,QBTK,35.748,203.11,-0.078,0,PB119,0.087
52345-220,RNAlater_SR_later_QBTK_1,1,1,10,SR,liquid,later,QBTK,35.75,202.83,-0.153,0,PB119,0.087
52345-220,RNAlater_SR_later_QBTK_1,1,2,10,SR,liquid,later,QBTK,35.821,194.17,0.067,0,PB119,0.087
52345-230,Extra longmires from sample 52345-085,,3,10,vacuum,liquid,longmires,QBTK,36.562,122.72,-0.096,0,PB119,0.09
52345-230,Extra longmires from sample 52345-085,,1,10,vacuum,liquid,longmires,QBTK,36.89,100.21,-0.08,0,PB119,0.09
52345-230,Extra longmires from sample 52345-085,,2,10,vacuum,liquid,longmires,QBTK,36.901,99.49,-0.102,0,PB119,0.09
52345-085,vacuum_longmires_QBTK_1,1,1,10,vacuum,filter,longmires,QBTK,NA,,-0.007,0,PB119,TL
52345-085,vacuum_longmires_QBTK_1,1,2,10,vacuum,filter,longmires,QBTK,NA,,-0.09,0,PB119,TL
52345-085,vacuum_longmires_QBTK_1,1,3,10,vacuum,filter,longmires,QBTK,NA,,-0.059,0,PB119,TL
52345-086,vacuum_longmires_QBTK_2,2,1,10,vacuum,filter,longmires,QBTK,NA,,0.043,0,PB119,TL
52345-086,vacuum_longmires_QBTK_2,2,2,10,vacuum,filter,longmires,QBTK,NA,,0.064,0,PB119,TL
52345-086,vacuum_longmires_QBTK_2,2,3,10,vacuum,filter,longmires,QBTK,NA,,0.009,0,PB119,TL
52345-087,vacuum_longmires_QBTK_3,3,1,10,vacuum,filter,longmires,QBTK,NA,,0.079,0,PB119,TL
52345-087,vacuum_longmires_QBTK_3,3,2,10,vacuum,filter,longmires,QBTK,NA,,0.156,0,PB119,TL
52345-087,vacuum_longmires_QBTK_3,3,3,10,vacuum,filter,longmires,QBTK,NA,,0.088,0,PB119,TL
52345-163,RNAlater_SR_later_PCI_1,1,1,1,SR,liquid,later,PCI,NA,,-0.772,0,PB118,TL
52345-163,RNAlater_SR_later_PCI_1,1,2,1,SR,liquid,later,PCI,NA,,-0.607,0,PB118,TL
52345-163,RNAlater_SR_later_PCI_1,1,3,1,SR,liquid,later,PCI,NA,,-0.659,0,PB118,TL
52345-164,RNAlater_SR_later_PCI_2,2,1,1,SR,liquid,later,PCI,NA,,-0.158,0,PB118,TL
52345-164,RNAlater_SR_later_PCI_2,2,2,1,SR,liquid,later,PCI,NA,,-0.146,0,PB118,TL
52345-164,RNAlater_SR_later_PCI_2,2,3,1,SR,liquid,later,PCI,NA,,-0.088,0,PB118,TL
52345-165,RNAlater_SR_later_PCI_3,3,1,1,SR,liquid,later,PCI,NA,,4.836,1,PB118,TL
52345-165,RNAlater_SR_later_PCI_3,3,2,1,SR,liquid,later,PCI,NA,,10.176,1,PB118,TL
52345-165,RNAlater_SR_later_PCI_3,3,3,1,SR,liquid,later,PCI,NA,,1.841,1,PB118,TL
52345-061,SR_-80_PCI_1,1,1,1,SR,filter,minus 80,PCI,29.574,11399.64,0.502,1,PB118,32
52345-061,SR_-80_PCI_1,1,3,1,SR,filter,minus 80,PCI,29.189,14814.34,0.136,0,PB118,32
52345-061,SR_-80_PCI_1,1,2,1,SR,filter,minus 80,PCI,29.863,9361.051,0.455,0,PB118,32
52345-062,SR_-80_PCI_2,2,2,1,SR,filter,minus 80,PCI,30.285,7022.856,0.692,1,PB118,31.2
52345-062,SR_-80_PCI_2,2,3,1,SR,filter,minus 80,PCI,29.603,11172.68,0.328,0,PB118,31.2
52345-062,SR_-80_PCI_2,2,1,1,SR,filter,minus 80,PCI,30.199,7445.382,0.267,0,PB118,31.2
52345-063,SR_-80_PCI_3,3,1,1,SR,filter,minus 80,PCI,29.362,13172.08,0.49,0,PB118,29.6
52345-063,SR_-80_PCI_3,3,3,1,SR,filter,minus 80,PCI,29.867,9334.646,0.024,0,PB118,29.6
52345-063,SR_-80_PCI_3,3,2,1,SR,filter,minus 80,PCI,30.848,4785.081,0.493,0,PB118,29.6
52345-125,SR_later_PCI_1,1,1,1,SR,filter,later,PCI,34.572,378.524,0.419,0,PB118,0.083
52345-125,SR_later_PCI_1,1,3,1,SR,filter,later,PCI,34.757,333.758,0.003,0,PB118,0.083
52345-125,SR_later_PCI_1,1,2,1,SR,filter,later,PCI,34.785,327.398,0.457,0,PB118,0.083
52345-126,SR_later_PCI_2,2,1,1,SR,filter,later,PCI,36.945,75.191,0.607,1,PB118,0.061
52345-126,SR_later_PCI_2,2,2,1,SR,filter,later,PCI,37.007,72.051,0.56,1,PB118,0.061
52345-126,SR_later_PCI_2,2,3,1,SR,filter,later,PCI,36.787,83.729,0.255,0,PB118,0.061
52345-127,SR_later_PCI_3,3,3,1,SR,filter,later,PCI,38.18,32.416,1.198,1,PB118,0.124
52345-127,SR_later_PCI_3,3,1,1,SR,filter,later,PCI,38.352,28.827,1.594,1,PB118,0.124
52345-127,SR_later_PCI_3,3,2,1,SR,filter,later,PCI,38.57,24.857,1.397,1,PB118,0.124
52345-067,SR_longmires_PCI_1,1,2,1,SR,filter,longmires,PCI,30.01,8467.471,0.616,1,PB118,35.2
52345-067,SR_longmires_PCI_1,1,1,1,SR,filter,longmires,PCI,30.277,7062.625,0.662,1,PB118,35.2
52345-067,SR_longmires_PCI_1,1,3,1,SR,filter,longmires,PCI,29.169,15021.1,0.437,0,PB118,35.2
52345-068,SR_longmires_PCI_2,2,3,1,SR,filter,longmires,PCI,29.875,9283.591,-0.575,0,PB118,34.4
52345-068,SR_longmires_PCI_2,2,2,1,SR,filter,longmires,PCI,31.034,4215.15,-0.846,0,PB118,34.4
52345-068,SR_longmires_PCI_2,2,1,1,SR,filter,longmires,PCI,31.277,3573.537,-0.92,0,PB118,34.4
52345-069,SR_longmires_PCI_3,3,3,1,SR,filter,longmires,PCI,32.109,2026.335,0.036,0,PB118,33.9
52345-069,SR_longmires_PCI_3,3,2,1,SR,filter,longmires,PCI,32.754,1306.347,-0.14,0,PB118,33.9
52345-069,SR_longmires_PCI_3,3,1,1,SR,filter,longmires,PCI,33.054,1064.579,-0.019,0,PB118,33.9
52345-052,SR_self-preserving_PCI_1,1,3,1,SR,filter,self-preserving,PCI,30.097,7981.599,-0.008,0,PB118,30.8
52345-052,SR_self-preserving_PCI_1,1,2,1,SR,filter,self-preserving,PCI,31.641,2787.497,0.101,0,PB118,30.8
52345-052,SR_self-preserving_PCI_1,1,1,1,SR,filter,self-preserving,PCI,32.271,1815.499,0.331,0,PB118,30.8
52345-053,SR_self-preserving_PCI_2,2,1,1,SR,filter,self-preserving,PCI,31.926,2295.392,0.609,1,PB118,24.8
52345-053,SR_self-preserving_PCI_2,2,3,1,SR,filter,self-preserving,PCI,29.822,9623.392,0.158,0,PB118,24.8
52345-053,SR_self-preserving_PCI_2,2,2,1,SR,filter,self-preserving,PCI,30.964,4421.577,0.335,0,PB118,24.8
52345-054,SR_self-preserving_PCI_3,3,3,1,SR,filter,self-preserving,PCI,31.875,2376.952,0.104,0,PB118,23.8
52345-054,SR_self-preserving_PCI_3,3,2,1,SR,filter,self-preserving,PCI,32.736,1322.407,0.281,0,PB118,23.8
52345-054,SR_self-preserving_PCI_3,3,1,1,SR,filter,self-preserving,PCI,34.171,497.38,0.324,0,PB118,23.8
52345-073,SR_shield_PCI_1,1,2,1,SR,filter,shield,PCI,26.976,66891.18,-0.352,0,PB118,28.8
52345-073,SR_shield_PCI_1,1,3,1,SR,filter,shield,PCI,27.1,61487.08,-0.353,0,PB118,28.8
52345-073,SR_shield_PCI_1,1,1,1,SR,filter,shield,PCI,27.129,60277.43,0.1,0,PB118,28.8
52345-074,SR_shield_PCI_2,2,3,1,SR,filter,shield,PCI,27.134,60064.23,-0.104,0,PB118,29.9
52345-074,SR_shield_PCI_2,2,2,1,SR,filter,shield,PCI,27.167,58747.02,0.086,0,PB118,29.9
52345-074,SR_shield_PCI_2,2,1,1,SR,filter,shield,PCI,27.379,50841.44,0.069,0,PB118,29.9
52345-075,SR_shield_PCI_3,3,2,1,SR,filter,shield,PCI,26.805,75189.86,2.184,1,PB118,26
52345-075,SR_shield_PCI_3,3,1,1,SR,filter,shield,PCI,26.968,67269.98,2.762,1,PB118,26
52345-075,SR_shield_PCI_3,3,3,1,SR,filter,shield,PCI,27.216,56823.82,2.078,1,PB118,26
52345-082,vacuum_longmires_PCI_1,1,3,1,vacuum,filter,longmires,PCI,41.127,4.353,8.207,1,PB118,21.3
52345-082,vacuum_longmires_PCI_1,1,2,1,vacuum,filter,longmires,PCI,41.156,4.269,8.417,1,PB118,21.3
52345-082,vacuum_longmires_PCI_1,1,1,1,vacuum,filter,longmires,PCI,41.874,2.617,8.409,1,PB118,21.3
52345-083,vacuum_longmires_PCI_2,2,1,1,vacuum,filter,longmires,PCI,NA,,-0.123,0,PB118,34.2
52345-083,vacuum_longmires_PCI_2,2,2,1,vacuum,filter,longmires,PCI,NA,,0.02,0,PB118,34.2
52345-083,vacuum_longmires_PCI_2,2,3,1,vacuum,filter,longmires,PCI,NA,,-0.132,0,PB118,34.2
52345-084,vacuum_longmires_PCI_3,3,1,1,vacuum,filter,longmires,PCI,28.654,21324.88,0.174,0,PB118,21.6
52345-084,vacuum_longmires_PCI_3,3,3,1,vacuum,filter,longmires,PCI,28.934,17631.9,-0.358,0,PB118,21.6
52345-084,vacuum_longmires_PCI_3,3,2,1,vacuum,filter,longmires,PCI,29.141,15304.47,0,0,PB118,21.6
52345-067,SR_longmires_PCI_1,1,1,10,SR,filter,longmires,PCI,26.859,49771.77,-0.341,0,PB119,35.2
52345-063,SR_-80_PCI_3,3,1,10,SR,filter,minus 80,PCI,27.022,45002.10,-0.331,0,PB119,29.6
52345-068,SR_longmires_PCI_2,2,1,10,SR,filter,longmires,PCI,27.053,44143.91,-0.024,0,PB119,34.4
52345-067,SR_longmires_PCI_1,1,3,10,SR,filter,longmires,PCI,27.156,41404.13,-0.28,0,PB119,35.2
52345-063,SR_-80_PCI_3,3,3,10,SR,filter,minus 80,PCI,27.23,39570.11,-0.362,0,PB119,29.6
52345-067,SR_longmires_PCI_1,1,2,10,SR,filter,longmires,PCI,27.249,39109.31,-0.111,0,PB119,35.2
52345-063,SR_-80_PCI_3,3,2,10,SR,filter,minus 80,PCI,27.258,38874.48,0.044,0,PB119,29.6
52345-068,SR_longmires_PCI_2,2,2,10,SR,filter,longmires,PCI,27.317,37476.34,-0.143,0,PB119,34.4
52345-062,SR_-80_PCI_2,2,1,10,SR,filter,minus 80,PCI,27.375,36171.04,-0.199,0,PB119,31.2
52345-061,SR_-80_PCI_1,1,1,10,SR,filter,minus 80,PCI,27.428,34987.74,-0.057,0,PB119,32
52345-068,SR_longmires_PCI_2,2,3,10,SR,filter,longmires,PCI,27.437,34800.24,-0.387,0,PB119,34.4
52345-061,SR_-80_PCI_1,1,2,10,SR,filter,minus 80,PCI,27.472,34053.25,-0.37,0,PB119,32
52345-062,SR_-80_PCI_2,2,2,10,SR,filter,minus 80,PCI,27.485,33786.06,-0.071,0,PB119,31.2
52345-062,SR_-80_PCI_2,2,3,10,SR,filter,minus 80,PCI,27.54,32648.62,-0.275,0,PB119,31.2
52345-061,SR_-80_PCI_1,1,3,10,SR,filter,minus 80,PCI,27.616,31158.00,-0.302,0,PB119,32
52345-073,SR_shield_PCI_1,1,2,10,SR,filter,shield,PCI,27.763,28439.34,-0.151,0,PB119,28.8
52345-075,SR_shield_PCI_3,3,2,10,SR,filter,shield,PCI,27.838,27152.06,-0.153,0,PB119,26
52345-073,SR_shield_PCI_1,1,1,10,SR,filter,shield,PCI,27.859,26809.40,-0.113,0,PB119,28.8
52345-075,SR_shield_PCI_3,3,1,10,SR,filter,shield,PCI,27.885,26371.88,-0.249,0,PB119,26
52345-074,SR_shield_PCI_2,2,1,10,SR,filter,shield,PCI,27.907,26018.57,-0.051,0,PB119,29.9
52345-074,SR_shield_PCI_2,2,2,10,SR,filter,shield,PCI,27.94,25492.92,-0.308,0,PB119,29.9
52345-073,SR_shield_PCI_1,1,3,10,SR,filter,shield,PCI,27.982,24832.72,-0.092,0,PB119,28.8
52345-074,SR_shield_PCI_2,2,3,10,SR,filter,shield,PCI,28.107,22992.76,-0.318,0,PB119,29.9
52345-075,SR_shield_PCI_3,3,3,10,SR,filter,shield,PCI,28.211,21557.91,-0.32,0,PB119,26
52345-052,SR_self-preserving_PCI_1,1,3,10,SR,filter,self-preserving,PCI,28.403,19141.58,-0.147,0,PB119,30.8
52345-052,SR_self-preserving_PCI_1,1,1,10,SR,filter,self-preserving,PCI,28.428,18849.97,-0.031,0,PB119,30.8
52345-069,SR_longmires_PCI_3,3,2,10,SR,filter,longmires,PCI,28.442,18688.08,-0.207,0,PB119,33.9
52345-052,SR_self-preserving_PCI_1,1,2,10,SR,filter,self-preserving,PCI,28.469,18377.93,-0.14,0,PB119,30.8
52345-084,vacuum_longmires_PCI_3,3,2,10,vacuum,filter,longmires,PCI,28.483,18216.61,-0.261,0,PB119,21.6
52345-084,vacuum_longmires_PCI_3,3,1,10,vacuum,filter,longmires,PCI,28.497,18065.09,0.141,0,PB119,21.6
52345-069,SR_longmires_PCI_3,3,3,10,SR,filter,longmires,PCI,28.525,17745.96,-0.159,0,PB119,33.9
52345-069,SR_longmires_PCI_3,3,1,10,SR,filter,longmires,PCI,28.531,17684.16,-0.091,0,PB119,33.9
52345-084,vacuum_longmires_PCI_3,3,3,10,vacuum,filter,longmires,PCI,28.612,16819.04,0.001,0,PB119,21.6
52345-053,SR_self-preserving_PCI_2,2,1,10,SR,filter,self-preserving,PCI,28.642,16511.68,-0.212,0,PB119,24.8
52345-053,SR_self-preserving_PCI_2,2,3,10,SR,filter,self-preserving,PCI,28.659,16336.96,-0.17,0,PB119,24.8
52345-053,SR_self-preserving_PCI_2,2,2,10,SR,filter,self-preserving,PCI,28.671,16218.06,-0.13,0,PB119,24.8
52345-054,SR_self-preserving_PCI_3,3,1,10,SR,filter,self-preserving,PCI,29.268,11209.77,-0.133,0,PB119,23.8
52345-054,SR_self-preserving_PCI_3,3,2,10,SR,filter,self-preserving,PCI,29.578,9252.45,-0.069,0,PB119,23.8
52345-054,SR_self-preserving_PCI_3,3,3,10,SR,filter,self-preserving,PCI,29.589,9189.59,-0.249,0,PB119,23.8
52345-082,vacuum_longmires_PCI_1,1,2,10,vacuum,filter,longmires,PCI,30.06,6866.09,-0.352,0,PB119,21.3
52345-083,vacuum_longmires_PCI_2,2,2,10,vacuum,filter,longmires,PCI,30.188,6341.49,-0.188,0,PB119,34.2
52345-082,vacuum_longmires_PCI_1,1,3,10,vacuum,filter,longmires,PCI,30.189,6337.31,-0.387,0,PB119,21.3
52345-083,vacuum_longmires_PCI_2,2,3,10,vacuum,filter,longmires,PCI,30.218,6223.87,-0.132,0,PB119,34.2
52345-082,vacuum_longmires_PCI_1,1,1,10,vacuum,filter,longmires,PCI,30.289,5956.89,-0.204,0,PB119,21.3
52345-083,vacuum_longmires_PCI_2,2,1,10,vacuum,filter,longmires,PCI,30.547,5076.95,-0.186,0,PB119,34.2
52345-127,SR_later_PCI_3,3,2,10,SR,filter,later,PCI,37.481,69.50,0.175,0,PB119,0.124
52345-127,SR_later_PCI_3,3,1,10,SR,filter,later,PCI,37.491,69.08,0.339,0,PB119,0.124
52345-125,SR_later_PCI_1,1,3,10,SR,filter,later,PCI,37.552,66.53,0.09,0,PB119,0.083
52345-125,SR_later_PCI_1,1,2,10,SR,filter,later,PCI,37.565,65.99,0.136,0,PB119,0.083
52345-125,SR_later_PCI_1,1,1,10,SR,filter,later,PCI,37.672,61.75,0.151,0,PB119,0.083
52345-127,SR_later_PCI_3,3,3,10,SR,filter,later,PCI,37.94,52.32,0.219,0,PB119,0.124
52345-126,SR_later_PCI_2,2,1,10,SR,filter,later,PCI,38.612,34.51,0.116,0,PB119,0.061
52345-126,SR_later_PCI_2,2,2,10,SR,filter,later,PCI,38.653,33.66,0.294,0,PB119,0.061
52345-126,SR_later_PCI_2,2,3,10,SR,filter,later,PCI,39.273,22.93,0.167,0,PB119,0.061
52345-163,RNAlater_SR_later_PCI_1,1,1,10,SR,liquid,later,PCI,NA,,0.217,0,PB119,TL
52345-163,RNAlater_SR_later_PCI_1,1,2,10,SR,liquid,later,PCI,NA,,-0.068,0,PB119,TL
52345-163,RNAlater_SR_later_PCI_1,1,3,10,SR,liquid,later,PCI,NA,,0.107,0,PB119,TL
52345-164,RNAlater_SR_later_PCI_2,2,1,10,SR,liquid,later,PCI,NA,,0.063,0,PB119,TL
52345-164,RNAlater_SR_later_PCI_2,2,2,10,SR,liquid,later,PCI,NA,,0.053,0,PB119,TL
52345-164,RNAlater_SR_later_PCI_2,2,3,10,SR,liquid,later,PCI,NA,,-0.002,0,PB119,TL
52345-165,RNAlater_SR_later_PCI_3,3,1,10,SR,liquid,later,PCI,NA,,0.081,0,PB119,TL
52345-165,RNAlater_SR_later_PCI_3,3,2,10,SR,liquid,later,PCI,NA,,-0.035,0,PB119,TL
52345-165,RNAlater_SR_later_PCI_3,3,3,10,SR,liquid,later,PCI,NA,,0.261,0,PB119,TL